period,dataset,raid,boss,url,rows
two_weeks_40,specializations,SSC,Hydross,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-30&week_to=2026-08-19,23
two_weeks_40,players_frost,SSC,Hydross,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-30&week_to=2026-08-19&page=1&i=39&boss=0&specs=6%3A1,8
two_weeks_40,specializations,SSC,Lurker,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=1&parsings=40&week_from=2026-07-30&week_to=2026-08-19,23
two_weeks_40,players_frost,SSC,Lurker,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-30&week_to=2026-08-19&page=1&i=39&boss=1&specs=6%3A1,2
two_weeks_40,specializations,SSC,Leotheras,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=2&parsings=40&week_from=2026-07-30&week_to=2026-08-19,23
two_weeks_40,players_frost,SSC,Leotheras,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-30&week_to=2026-08-19&page=1&i=39&boss=2&specs=6%3A1,7
two_weeks_40,specializations,SSC,Karathress,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=3&parsings=40&week_from=2026-07-30&week_to=2026-08-19,23
two_weeks_40,players_frost,SSC,Karathress,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-30&week_to=2026-08-19&page=1&i=39&boss=3&specs=6%3A1,8
two_weeks_40,specializations,SSC,Morogrim,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=4&parsings=40&week_from=2026-07-30&week_to=2026-08-19,23
two_weeks_40,players_frost,SSC,Morogrim,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-30&week_to=2026-08-19&page=1&i=39&boss=4&specs=6%3A1,8
two_weeks_40,specializations,SSC,Lady Vashj,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=5&parsings=40&week_from=2026-07-30&week_to=2026-08-19,23
two_weeks_40,players_frost,SSC,Lady Vashj,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-30&week_to=2026-08-19&page=1&i=39&boss=5&specs=6%3A1,6
